Days,Alabama,Alaska,Arizona,Arkansas,Belgium,California,Colorado,Connecticut,DC,Delaware,Florida,France,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Sweden,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Albania,Austria,Belarus,Denmark,Germany,Italy,Finland,Greece,Ireland,Kosovo,Netherlands,Poland,Portugal,Romania,Russia,Serbia,Spain,Switzerland,Ukraine,United Kingdom,Canada,China,India,Japan,South Africa,Brazil,Mexico,Australia,Synthetic 1,Synthetic 2,Synthetic 3,Synthetic 4,Synthetic 5,Synthetic 6,Synthetic 7,Synthetic 8,Synthetic 9,Synthetic 10,Synthetic 11,Synthetic 12,Chile
14,152,12,19,30,179,7,33,29,21,17,0,286,89,14,66,168,47,23,32,21,74,24,45,38,291,64,110,129,25,8,50,29,92,17,218,85,12,104,84,27,48,33,21,7,78,75,19,42,26,21,81,21,101,7,6,29,0,160,237,769,50,35,69,15,121,68,76,33,57,34,433,152,43,83,16,1740,32,20,34,57,38,30,1083,1250,1149,1107,,9,115,1204,1,9,53,,45
15,101,6,23,76,214,23,62,104,18,15,39,372,200,31,43,296,76,22,39,19,335,13,50,72,467,29,93,124,31,1,90,21,159,13,425,33,17,93,74,23,82,38,45,2,136,112,60,47,27,37,92,17,36,18,13,51,0,128,157,778,31,31,74,6,111,70,86,43,163,27,772,212,62,134,10,1980,12,22,128,137,70,41,1199,1299,1352,1220,,17,117,1251,0,3,55,,37
16,81,13,34,43,387,50,86,88,21,24,32,497,70,24,30,238,60,15,40,21,216,13,45,85,502,25,90,162,26,11,130,29,308,23,1012,95,21,120,55,24,119,36,46,11,158,98,82,56,24,67,98,29,63,11,11,64,11,23,271,1247,50,46,191,3,190,111,117,17,182,54,975,267,93,117,35,2095,28,24,155,193,110,52,1294,1357,1394,1380,,18,147,1419,3,2,50,,104
17,110,10,49,35,422,68,111,203,46,22,69,595,68,29,48,250,107,19,59,33,407,43,59,112,584,57,90,167,14,4,86,27,161,55,1774,165,12,143,52,30,116,55,22,5,155,156,138,78,21,35,66,26,142,3,23,115,47,48,802,1492,71,31,126,3,155,98,194,31,196,81,1153,238,107,433,38,2590,26,20,152,283,132,49,1476,1533,1545,1512,,17,163,1462,1,6,42,,92
18,117,3,81,24,534,61,116,257,48,49,116,785,180,20,105,339,113,23,61,41,510,42,74,121,778,52,89,65,16,7,117,44,440,19,2952,77,14,160,52,18,140,114,105,12,149,128,161,128,37,37,119,25,131,8,23,143,0,57,693,1797,105,35,102,12,176,115,143,59,228,73,1531,841,62,251,68,2812,40,9,218,224,131,77,1629,1718,1689,1791,,14,186,1652,1,4,54,,103
19,52,10,92,40,713,97,130,137,36,18,108,838,295,34,111,664,177,32,41,50,441,22,158,131,979,44,89,147,21,7,182,56,578,27,3258,145,13,277,85,57,207,80,43,10,108,175,92,111,28,99,114,40,176,25,28,151,102,92,733,977,74,94,121,7,278,152,235,66,270,202,1683,0,69,152,60,3237,89,15,243,418,145,79,1781,1811,1901,1751,,15,194,1766,1,1,45,,95
20,109,13,76,59,663,110,191,279,37,32,130,924,290,25,143,491,331,57,61,54,569,28,209,382,852,62,136,301,21,11,124,53,930,45,4817,188,21,262,153,50,300,78,83,22,89,199,89,87,17,213,118,43,112,17,12,205,97,91,1043,2313,92,71,219,13,292,150,260,143,302,82,2144,450,245,407,120,3872,119,0,17,345,101,111,1926,2052,2109,1962,,26,237,1954,2,5,51,,114
21,162,14,106,56,470,144,174,233,38,55,200,1210,256,34,222,518,247,62,54,92,224,41,276,679,1022,72,104,230,22,20,69,48,831,33,5711,194,18,259,160,99,539,91,31,10,46,183,129,81,51,2,202,22,78,16,11,156,43,36,1174,2651,88,48,204,8,346,170,320,186,501,0,1706,360,10,680,145,3727,53,14,93,310,121,144,1991,2076,2164,2185,,19,242,2113,0,5,49,,176
22,265,6,157,60,486,161,346,469,59,49,236,1097,557,32,121,1068,283,38,65,45,485,32,178,579,1121,53,181,254,21,16,166,64,727,48,4805,137,12,268,110,65,527,54,86,7,134,206,275,125,72,134,176,66,149,13,15,316,170,104,1144,2547,78,78,235,9,409,168,460,144,440,159,2503,878,183,647,121,3160,70,49,46,232,163,165,2223,2314,2417,2394,,27,247,2241,1,3,60,,220
23,97,22,108,59,1329,174,303,578,94,25,222,1404,249,20,64,455,275,88,71,41,1213,56,171,823,1663,60,97,279,19,47,179,61,2474,40,7413,224,14,266,170,69,598,95,119,22,122,152,410,65,51,150,251,70,82,22,11,314,136,71,1042,3497,67,71,255,8,534,249,302,123,771,160,3694,952,109,706,156,3418,87,32,27,482,132,224,2419,2499,2501,2497,,22,276,2367,0,5,38,,164
