Days,Alabama,Alaska,Arizona,Arkansas,Belgium,California,Colorado,Connecticut,DC,Delaware,Florida,France,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Sweden,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Albania,Austria,Belarus,Denmark,Germany,Italy,Finland,Greece,Ireland,Kosovo,Netherlands,Poland,Portugal,Romania,Russia,Serbia,Spain,Switzerland,Ukraine,United Kingdom,Canada,China,India,Japan,South Africa,Brazil,Mexico,Australia,Synthetic 1,Synthetic 2,Synthetic 3,Synthetic 4,Synthetic 5,Synthetic 6,Synthetic 7,Synthetic 8,Synthetic 9,Synthetic 10,Synthetic 11,Synthetic 12,Chile
56,355,1,446,56,387,1982,441,523,219,83,306,2051,1131,0,20,2450,688,758,266,2,200,28,1002,1963,193,571,262,245,0,494,38,105,2668,107,4077,154,27,579,129,69,2033,325,214,37,545,595,905,123,3,1055,375,7,304,4,7,73,951,161,1785,3786,166,0,229,1,708,237,163,277,10102,93,2218,205,507,4451,1590,24,1543,89,447,5385,1120,13,395,387,382,406,,4,32,398,,5,37,,552
57,339,2,314,86,205,1729,527,0,154,407,689,2667,1005,1,27,2994,638,528,347,342,363,76,993,1940,395,617,404,245,2,354,79,102,2408,153,3285,203,53,560,94,56,1540,249,163,53,682,495,971,156,2,830,216,9,272,9,6,50,921,137,2237,3493,89,42,376,1,887,228,298,362,10559,120,2951,228,504,4583,1766,22,1897,351,437,6276,1609,20,357,323,343,300,,2,39,369,,6,45,,520
58,283,3,402,83,748,1961,454,686,152,161,610,1827,832,1,25,2341,588,534,511,147,323,44,948,2106,688,728,288,164,0,437,114,104,2388,202,4718,412,76,495,66,45,1307,210,231,59,751,412,1233,119,5,940,368,26,330,9,8,91,933,235,2352,3491,56,15,359,8,806,270,180,262,11231,114,2312,181,515,5386,1920,19,1718,410,352,7218,1982,16,286,300,278,281,,4,19,308,,5,37,,1138
59,221,0,276,53,568,1834,457,648,139,144,708,1653,350,2,2,2049,568,408,172,452,403,34,708,1952,564,785,123,164,0,319,84,64,2538,181,4702,500,65,607,99,79,1008,285,137,126,812,272,1270,195,0,821,179,30,335,9,17,61,967,130,2337,3047,128,0,221,14,655,318,368,327,10699,57,2916,216,522,4913,1778,22,1993,680,236,6209,1906,10,301,255,239,267,,1,21,264,,4,41,,985
60,275,4,279,0,514,1222,409,374,193,194,347,1773,732,1,29,2275,863,293,122,124,253,28,1046,1824,676,723,173,169,1,329,104,60,2527,105,3879,648,49,555,24,80,913,176,131,239,610,182,1091,184,1,764,214,13,314,7,12,83,952,123,2055,2256,75,29,343,11,655,313,295,165,10817,95,2114,167,416,4463,1464,25,2293,1401,424,4970,1938,12,233,226,228,233,,3,21,242,,3,31,,1427
61,300,1,386,265,587,1101,272,789,245,170,498,1537,526,3,33,2638,656,655,116,227,203,26,1213,1000,416,702,234,119,2,419,74,89,3027,85,4559,448,87,887,118,77,975,164,84,249,463,371,866,148,2,0,207,22,375,6,10,66,947,153,1737,2729,73,6,330,24,400,425,364,431,11012,89,2506,103,375,4309,1543,43,2644,507,663,4588,1562,13,200,173,192,215,,2,17,192,,3,43,,1228
62,236,4,402,31,237,1517,457,627,203,118,1037,461,848,0,31,2886,678,398,191,125,562,15,1116,1184,381,481,182,99,1,640,32,79,1525,206,3699,508,52,679,121,73,1022,221,95,124,286,168,835,113,3,1314,325,22,349,13,8,55,958,157,1018,3370,85,6,216,8,171,309,-161,349,11656,82,1641,100,402,3996,1605,23,2553,390,525,6633,1305,8,209,177,177,177,,1,27,164,,1,46,,980
63,401,4,238,121,284,1362,464,573,170,176,735,1195,800,1,27,2320,619,214,200,171,183,38,1046,1754,410,528,393,245,0,403,159,60,2324,143,2524,396,31,389,110,79,1160,181,206,97,695,399,1152,90,1,772,324,10,280,13,6,67,951,150,1144,2646,161,10,261,18,386,307,334,325,10899,62,1660,143,422,4076,1526,44,3900,455,595,6935,1997,16,175,148,166,160,,0,18,180,,3,51,,1373
64,272,3,581,72,141,2334,544,570,117,211,615,1065,565,1,37,1654,394,288,116,17,208,50,1055,1696,420,695,318,121,4,95,171,83,1297,152,2302,286,63,699,124,92,1352,203,225,49,681,385,1155,170,1,854,320,12,199,15,12,58,969,153,1304,3021,100,21,265,10,514,319,0,270,10028,67,1525,179,483,6032,1572,99,2958,482,637,10503,1862,5,151,115,141,151,,4,18,141,,2,58,,1032
65,301,0,434,130,669,1566,455,211,96,271,819,1607,392,1,30,1461,501,414,338,224,235,38,790,1612,361,423,322,77,2,247,122,82,1745,139,2746,333,101,472,151,68,1160,215,164,69,790,363,1241,136,6,885,249,53,199,25,4,50,922,96,1478,2357,65,15,137,23,475,285,178,392,9974,52,847,119,528,6201,1649,52,3561,585,698,9888,2409,16,134,132,116,116,,1,12,127,,2,49,,1533
66,97,3,159,97,536,1848,548,568,99,150,542,1139,786,0,2,4045,542,539,53,293,612,45,691,1410,1182,527,173,227,0,157,129,92,1819,159,3526,448,134,470,73,58,1376,240,122,60,428,354,1261,170,0,989,560,36,286,13,4,60,936,116,0,2324,142,13,156,7,445,345,480,312,10598,79,1241,112,433,4806,1825,65,3390,628,724,10222,2437,18,120,113,94,121,,,12,98,,4,39,,1391
67,315,0,261,115,551,1435,328,522,152,174,563,604,181,1,34,1706,368,377,7,99,827,39,753,1050,493,797,136,275,2,340,77,40,1631,185,2873,743,88,636,88,73,520,121,139,95,562,484,906,138,4,730,104,102,377,12,4,34,918,147,2584,1739,82,19,219,3,335,330,533,320,9200,64,1387,88,325,4339,1653,138,3320,566,665,10611,2112,24,116,86,86,103,,,7,103,,6,53,,1247
68,290,2,356,181,426,1319,198,609,135,123,826,794,863,2,21,3207,583,386,373,295,348,26,1094,669,434,729,272,156,1,339,125,56,1447,91,2715,597,48,593,91,57,850,156,135,72,235,327,1188,170,0,946,187,24,574,10,18,12,945,151,793,2091,22,6,236,1,199,595,553,231,9709,58,1234,76,260,3985,2760,69,3277,390,785,6760,2075,24,95,94,88,76,,,8,96,,4,36,,1647
69,676,5,440,54,479,1261,310,621,171,199,371,308,555,4,30,2447,654,374,49,181,280,28,1084,870,638,708,263,144,7,355,124,69,1413,158,2138,819,53,520,43,63,787,405,103,28,404,329,951,146,6,1067,639,42,514,11,18,68,932,162,679,2086,19,10,139,14,317,283,138,226,8926,114,935,28,354,4406,1298,78,4213,367,831,5632,2414,26,91,70,69,89,,,12,77,,4,29,,1197
70,362,0,498,110,240,2515,339,618,81,168,802,576,556,0,28,2141,638,279,173,195,315,78,978,1165,799,695,255,141,1,454,110,147,798,96,1610,528,39,449,148,62,964,215,159,40,495,287,1360,146,2,859,314,11,203,14,17,31,941,100,685,1872,51,18,107,1,232,411,175,190,9263,89,466,51,476,6211,1274,102,3604,378,1160,9258,2713,21,91,76,66,66,,,5,78,,6,39,,1658
71,256,3,495,80,118,1939,371,716,147,157,595,1104,820,1,61,1691,500,323,110,20,334,58,837,1685,484,666,402,147,0,128,132,67,817,146,1438,584,-35,530,169,71,1020,165,218,58,702,187,1474,187,2,1011,290,72,151,2,13,17,954,135,1037,1965,91,16,159,21,455,401,98,224,8764,34,1039,66,442,5514,1450,94,3525,276,918,11385,2248,18,61,48,74,60,,,5,70,,3,25,,2660
72,479,4,462,455,462,1694,394,697,164,192,386,4183,413,0,31,2418,478,304,297,248,329,71,962,1239,651,641,381,140,0,277,103,79,1144,134,2123,641,20,498,111,11,1050,216,254,92,705,376,1347,159,2,705,152,45,279,10,2,65,946,101,1194,1900,83,10,426,7,319,241,234,245,8849,100,880,81,432,4649,1426,119,3722,468,767,13944,2973,15,54,48,66,71,,,6,65,,5,50,,2659
73,329,1,306,154,395,2135,397,314,117,143,941,629,299,0,24,1520,505,341,51,164,278,65,1782,1512,480,530,247,125,0,221,127,75,1201,153,2364,459,42,484,77,64,517,113,155,0,642,534,1818,181,6,752,152,36,573,0,1,22,915,110,1209,1389,58,40,129,0,289,272,219,190,8894,86,921,44,406,3896,1512,113,3967,652,803,15305,2960,12,41,58,50,43,,,5,52,,3,46,,2502
74,508,13,233,163,318,2208,305,587,237,161,479,642,680,0,14,2415,584,572,16,131,1188,42,778,1077,397,805,206,192,0,273,238,60,1184,170,2759,713,39,731,53,39,931,0,126,179,656,233,879,203,5,1005,391,37,393,30,15,62,897,84,1251,1221,61,9,92,6,245,356,187,267,9434,105,1173,54,259,3923,1268,98,3970,290,1134,14919,3329,7,47,49,50,51,,,5,45,,1,44,,1886
75,664,6,396,147,294,1227,265,191,105,119,808,433,580,1,35,2282,687,302,137,139,421,19,1203,1042,439,840,273,182,0,305,117,48,1245,148,2185,727,34,627,47,75,728,145,114,112,401,436,962,132,4,763,210,17,590,7,5,42,902,78,667,1075,33,15,64,9,161,383,264,167,8599,68,743,39,339,3877,1146,84,4987,203,988,7938,2764,16,38,44,37,43,,,2,43,,3,31,,2353
76,382,5,331,107,340,1463,280,432,73,156,928,209,948,3,32,2715,492,340,80,213,117,35,894,873,312,728,313,141,2,238,73,34,1705,83,1901,1070,23,613,92,16,747,143,119,95,348,394,960,129,3,1229,110,21,428,10,12,10,906,76,357,1444,19,2,88,1,196,471,227,165,8946,67,3416,36,0,3403,1133,54,5242,191,1218,13140,2485,11,52,38,22,40,,,1,40,,5,33,,2278
77,498,28,418,151,146,1636,315,382,144,101,673,456,807,2,39,2390,509,388,101,124,128,28,1069,1045,200,742,328,187,4,327,100,55,974,104,1241,500,48,503,41,47,1101,141,204,23,602,401,1292,101,1,813,369,18,377,16,8,87,894,46,933,1401,44,4,51,4,227,404,226,155,8915,34,393,33,798,3242,1176,100,4970,276,1240,17408,3455,14,47,50,35,37,,,3,25,,6,37,,3520
78,501,7,293,97,81,2068,392,446,115,30,777,708,765,2,34,2441,477,536,60,30,623,52,1311,1114,224,645,418,191,8,145,91,103,1386,122,1479,766,21,566,68,24,1053,141,259,67,637,351,1289,88,2,799,270,28,284,15,9,36,898,78,798,1327,50,10,64,12,270,476,173,196,8338,34,482,50,822,3446,1121,70,5611,236,1032,19951,3463,30,44,43,32,40,,,4,37,,3,39,,4038
79,328,21,432,261,307,1729,295,405,109,75,854,507,674,1,36,1707,338,194,313,57,336,37,835,805,504,505,439,134,12,221,97,103,1073,112,1478,191,33,529,80,39,797,184,257,57,673,417,1072,243,4,495,205,21,277,7,6,54,847,67,933,1083,44,3,76,6,200,312,223,198,8371,48,439,51,0,3560,1123,62,5609,193,649,18508,3377,17,24,18,34,23,,,2,34,,2,44,,3964
80,593,19,299,239,284,2068,476,430,72,65,502,622,581,0,15,1238,367,371,21,276,442,56,536,773,400,483,272,169,10,264,128,53,1247,129,2078,599,27,433,88,22,554,109,201,83,625,427,928,329,2,1483,178,25,642,5,25,41,852,69,913,802,31,20,115,13,189,395,228,127,8572,25,849,58,468,3450,1201,48,6088,263,1673,20803,3227,9,23,30,17,27,,,2,17,,6,43,,4276
81,582,26,222,236,381,1918,208,0,86,186,527,563,425,1,53,1126,386,447,31,138,213,43,752,1013,645,584,251,179,4,357,144,106,385,131,1678,829,39,476,67,18,700,63,82,73,470,400,1082,269,5,1615,242,17,646,7,21,63,861,41,620,744,11,3,76,27,125,305,252,145,8952,54,643,15,668,3534,1251,67,6654,295,1466,16508,2885,15,25,26,24,19,,,0,41,,3,38,,3536
82,237,23,222,240,71,1433,116,271,46,76,1204,372,652,0,27,1516,643,226,225,197,0,24,1292,596,259,659,268,226,4,285,109,34,1050,65,1754,1119,71,651,119,71,517,121,238,94,466,403,599,278,2,907,232,17,573,2,26,72,865,76,583,1402,20,2,57,13,146,443,288,213,9268,27,515,10,483,2711,1138,56,6767,218,1837,15813,3152,8,21,22,26,17,,,4,26,,2,25,,3709
83,80,14,479,190,246,1577,297,203,179,107,776,120,647,1,55,1666,514,347,40,178,775,28,1297,422,507,660,302,299,2,393,73,64,938,111,1601,1026,45,468,113,48,773,107,207,33,234,436,440,197,36,1152,122,8,465,3,23,14,887,73,342,888,29,4,59,19,108,399,271,213,9035,31,652,21,588,2412,1070,86,6977,174,1727,11687,2771,11,21,23,24,24,,,3,19,,4,45,,4895
84,221,9,501,375,122,2038,222,260,84,80,676,492,650,9,64,1496,665,317,138,199,339,41,1031,527,1080,358,238,198,12,251,157,46,672,224,1279,925,19,479,102,45,666,106,165,41,422,477,1083,211,1,1132,170,17,169,6,23,25,883,65,513,992,64,10,37,5,198,352,152,146,8863,18,256,40,553,-525,1040,86,6535,123,1716,16324,3891,2,12,19,19,20,,,1,18,,1,40,,3964
85,315,19,702,249,75,2144,341,179,56,27,740,524,525,8,57,1298,365,285,51,50,431,28,794,675,245,300,209,266,2,196,92,81,864,116,1044,682,21,471,97,54,761,116,343,33,724,156,1532,321,19,1078,246,18,138,12,15,78,879,48,797,789,51,11,68,11,253,330,165,165,8536,24,431,36,550,2615,990,55,6387,109,1674,20599,3912,14,14,25,19,11,,,1,14,,8,34,,4328
86,656,13,790,358,304,2363,486,539,29,34,879,418,448,2,28,1078,255,168,161,213,405,36,579,617,310,363,265,229,1,244,168,77,1187,213,1132,684,40,366,56,58,716,0,263,95,649,410,1715,300,17,996,214,14,393,6,6,18,823,59,745,875,33,3,38,36,188,416,219,197,8831,69,518,13,0,3287,1222,79,6566,84,1455,26417,4442,11,14,10,8,18,,,2,26,,3,32,,4654
87,457,22,681,226,198,2313,482,239,130,27,509,318,715,1,14,1578,445,228,24,137,387,42,796,789,225,403,236,144,5,266,188,66,1029,319,1758,961,39,442,91,59,429,0,467,85,637,1256,1253,486,12,791,249,24,665,8,21,57,812,71,460,675,50,3,35,40,176,215,285,191,8726,48,482,18,485,2959,1156,93,7466,81,1713,26928,4346,3,17,13,14,17,,,1,18,,4,46,,3695
88,425,24,187,450,181,2014,280,112,104,72,379,403,706,6,44,1035,480,359,32,198,429,46,786,664,4529,707,498,326,3,255,188,24,764,128,1549,1263,36,490,55,33,516,201,287,30,379,526,1323,522,9,841,276,32,461,13,20,29,801,27,638,451,33,6,53,29,172,379,304,151,8855,96,1787,11,463,2405,1141,112,7964,119,3267,33274,3593,9,9,18,10,14,,,5,8,,4,26,,4220
89,497,22,1127,325,159,1928,199,148,79,97,651,240,306,3,29,870,396,567,175,296,427,18,873,3840,452,521,341,174,6,251,179,36,837,140,1363,1141,42,476,158,64,581,49,267,90,271,350,1578,218,11,666,273,25,352,10,13,46,750,41,431,813,26,2,61,6,209,230,350,124,8984,74,466,10,394,1625,1078,94,8380,51,2642,16409,3484,15,13,14,13,11,,,0,7,,6,33,,4830
90,567,34,995,314,159,2274,211,221,70,30,1212,115,648,7,36,1168,494,389,62,270,497,18,917,358,419,385,374,237,7,262,142,53,473,122,1104,1392,22,353,116,75,556,65,236,71,384,425,1107,294,15,951,287,16,274,10,15,32,704,52,289,665,2,0,72,29,133,0,257,141,8985,82,482,15,525,4043,1012,49,8392,76,2539,11598,2999,6,9,12,11,5,,,2,9,,2,36,,5471
91,856,12,573,340,60,2908,272,358,63,48,927,358,817,14,41,934,429,195,145,308,330,31,692,429,296,338,0,266,2,164,231,46,627,43,945,854,21,365,146,106,557,106,354,33,597,560,1885,261,9,676,266,32,249,29,20,20,721,32,432,642,24,1,4,28,190,653,297,119,8595,73,-372,0,689,2013,936,50,8171,150,2312,28936,4199,11,13,6,7,13,,,0,12,,3,38,,3527
92,865,4,1551,288,48,1949,300,150,57,36,739,276,752,17,51,819,400,267,53,34,236,30,494,471,279,299,608,262,10,91,170,31,523,145,1361,918,23,361,222,92,480,85,448,52,648,452,1580,343,6,865,286,19,211,18,14,38,732,81,362,652,0,19,45,58,182,371,200,152,8404,69,859,35,683,1887,872,352,8909,55,2594,28633,4883,23,8,19,10,7,,,1,12,,5,38,,4942
93,891,13,1148,448,58,2197,255,124,85,50,667,191,663,5,45,1473,225,317,168,308,562,54,431,494,187,366,257,187,15,118,248,42,462,118,1043,812,43,325,225,137,599,0,463,81,639,406,1784,384,2,1284,241,35,274,23,17,18,707,40,353,669,30,0,31,53,176,567,195,238,8779,66,510,32,753,2095,993,31,9304,114,2112,30916,4790,12,8,8,8,8,,,0,6,,5,34,,4664
94,1014,25,1407,731,178,2972,233,87,63,67,617,3325,428,8,14,778,432,160,43,190,418,36,519,575,250,447,168,216,13,136,240,48,806,158,1053,912,29,413,158,116,494,0,370,61,749,648,1994,315,3,570,196,42,2656,10,36,28,689,36,741,531,23,0,21,49,131,575,366,196,8987,71,1137,17,648,1604,906,18,9851,44,2430,30830,5222,10,3,9,10,10,,,2,6,,8,34,,4207
95,657,19,837,548,160,3057,153,168,52,56,1317,597,624,4,59,568,312,462,52,138,442,36,571,304,254,479,283,57,8,137,288,19,557,95,1042,1430,33,429,186,97,431,146,514,77,637,514,1753,380,0,487,458,50,320,19,42,51,663,30,738,300,17,15,20,129,185,599,331,187,8706,73,658,17,656,1936,772,14,9887,48,3147,27075,3494,9,4,8,4,3,,,1,11,,3,37,,5246
96,640,26,635,406,168,3014,182,114,65,35,1419,1828,774,4,71,842,417,370,269,99,523,17,709,190,143,377,353,328,5,290,207,27,271,102,1083,1732,25,420,228,75,532,71,428,91,429,387,871,252,0,439,336,32,322,10,44,44,625,35,286,397,20,0,18,141,103,400,377,189,8835,76,664,9,666,1570,757,32,9971,20,3359,18921,4147,17,6,5,10,6,,,0,6,,3,28,,6405
97,400,24,1585,416,155,2529,164,228,55,76,1305,257,696,18,91,758,400,352,53,224,1288,9,439,263,222,299,489,218,16,198,117,19,333,122,777,1444,37,424,258,151,446,49,531,65,272,452,1378,444,5,470,168,43,293,25,31,4,676,37,333,584,24,97,6,77,102,197,382,125,8246,59,201,3,758,1653,758,15,9983,60,3809,15654,3427,8,11,5,4,6,,,2,7,,4,38,,4696
98,894,14,1544,274,69,2438,151,305,58,63,1270,338,867,27,110,628,421,337,232,253,336,17,673,267,56,222,381,221,25,121,357,72,299,88,712,1288,25,300,451,139,534,56,682,30,775,398,1945,320,9,564,223,28,281,30,48,21,603,40,213,593,15,9,8,83,86,444,142,145,8248,57,209,19,829,1871,705,12,9987,20,4302,32091,4599,11,7,8,5,11,,,1,6,,5,40,,3913
99,796,10,1642,415,53,2326,148,94,32,41,1180,-766,869,14,127,602,366,167,85,47,552,42,393,511,164,189,0,337,11,101,179,14,550,132,690,1058,7,428,352,156,634,68,729,38,2214,558,2500,387,3,658,547,22,223,29,57,11,569,64,342,516,24,10,16,82,209,376,392,196,7843,59,294,20,921,1805,675,8,9985,39,3495,32913,4930,11,5,5,8,10,,,,8,,2,37,,5737
100,547,36,1606,322,150,2510,175,147,19,55,966,352,977,11,135,528,521,151,282,211,534,35,325,392,228,415,0,292,32,125,312,36,470,88,664,848,44,434,331,101,410,0,785,84,1080,771,2001,551,12,637,221,36,299,6,69,31,518,49,394,416,9,20,7,75,210,440,421,237,7790,96,394,23,841,1650,641,15,9996,89,2801,30412,5662,4,3,5,8,2,,,,4,,3,45,,5596
101,472,21,1180,703,144,3593,195,114,29,112,1096,767,696,2,19,619,358,153,50,36,928,25,351,336,286,379,0,375,19,171,361,32,348,107,724,1037,32,412,478,184,313,0,841,59,1056,678,2259,570,4,380,297,64,338,18,82,36,464,24,507,355,14,20,12,96,183,375,294,222,7972,94,334,20,735,1557,609,10,10956,23,4078,25982,5030,5,8,6,3,10,,,,4,,6,28,,6754
102,433,45,1052,511,116,2637,113,80,56,70,1371,611,631,3,242,550,256,353,40,291,760,19,561,208,320,356,1265,397,17,195,452,26,441,170,821,1284,28,700,218,277,386,122,585,49,948,489,2089,588,1,445,529,36,444,33,50,62,458,14,407,178,17,4,45,47,239,396,310,275,7889,93,318,9,681,1326,722,3,11458,14,3478,21704,4717,5,6,3,6,1,,,,3,,4,37,,6509
103,643,30,2293,419,94,2850,169,11,49,94,1698,579,797,14,145,665,444,343,318,201,0,14,274,87,421,436,611,181,9,189,259,14,276,135,912,1588,37,609,295,120,390,74,614,67,843,492,1422,394,20,444,203,52,302,24,66,19,437,39,301,318,4,9,8,52,165,407,270,320,7728,94,332,7,1773,1205,642,26,11929,31,3825,17110,5343,2,5,2,6,7,,,,6,,5,27,,6938
104,967,26,1861,522,88,2290,143,117,32,45,1902,343,915,15,238,836,321,465,83,238,870,23,311,195,152,453,526,415,23,176,339,13,222,129,694,1626,37,531,481,148,310,73,561,72,403,999,2185,468,7,463,144,50,401,28,50,46,331,15,214,321,4,13,18,95,164,506,283,166,7600,91,240,16,0,1741,545,2,11502,42,4966,20647,4577,9,7,0,3,4,,,,6,,2,36,,5143
105,1142,33,2572,595,47,2958,231,158,36,27,2581,211,823,14,219,618,334,128,451,171,393,23,415,266,271,307,1092,330,37,116,483,27,323,144,623,1214,44,546,438,206,393,34,992,29,791,620,4246,419,7,555,232,38,284,44,53,21,382,19,350,177,5,14,13,69,184,314,227,250,7425,96,167,23,994,1003,409,4,10667,28,4621,34918,6288,9,2,4,3,2,,,,1,,7,24,,5013
106,977,25,3183,697,22,2894,228,40,38,42,2016,403,1077,6,280,619,361,468,97,119,462,53,338,271,229,242,550,598,26,103,402,40,277,152,630,986,37,729,396,90,508,21,1083,27,890,496,3493,461,2,650,404,35,251,42,36,13,380,64,318,518,0,55,7,62,164,301,346,345,7176,102,249,33,1109,1266,472,12,10974,0,4288,32188,5437,5,3,1,0,3,,,,2,,2,38,,36179
107,900,47,3284,687,148,3570,286,27,36,91,1758,545,1552,27,170,461,213,197,522,154,1356,32,299,228,338,297,465,491,23,147,451,33,404,202,561,984,39,590,299,276,390,0,1155,66,1474,536,3211,629,2,551,344,75,338,24,68,34,315,40,555,270,16,24,14,96,210,304,300,320,7113,143,314,19,948,1541,405,3,12881,68,4518,22765,6104,12,4,1,2,2,,,,1,,2,31,,4475
108,358,42,2468,678,97,3576,162,117,34,37,2783,425,824,1,224,667,258,253,38,250,882,52,400,286,448,360,368,342,11,135,448,46,389,216,626,1437,42,632,302,145,346,0,907,60,1396,763,4645,674,6,471,215,74,465,25,52,28,328,54,258,197,9,10,13,87,179,311,336,320,6800,137,427,31,917,1425,413,2,13586,85,5688,54771,5441,18,1,3,3,1,,,,4,,2,37,,6290
109,1734,50,2101,570,122,3149,190,14,31,74,2610,726,1212,17,227,743,293,427,249,199,938,37,332,125,314,493,669,345,56,129,1041,30,338,211,794,1277,65,892,228,191,642,103,1008,56,1247,804,4272,517,0,529,442,73,552,33,67,30,306,24,348,280,1,19,6,122,143,296,417,330,6852,193,502,23,646,1514,467,3,14516,47,6579,34666,4410,15,3,3,2,5,,,,2,,2,53,,5355
110,870,60,3630,508,106,2519,165,81,26,135,3207,526,1872,8,354,910,519,487,553,271,1354,28,463,149,329,417,680,494,48,125,787,13,308,190,707,1715,57,987,585,170,617,49,912,91,683,873,3292,420,2,520,372,79,514,37,78,20,274,33,247,283,1,10,5,79,0,300,375,315,6791,227,396,14,1370,968,377,2,15413,33,6215,17459,4050,12,4,3,2,2,,,,2,,3,37,,5607
111,917,55,1810,439,117,2709,188,65,31,150,3822,407,1713,20,255,877,490,444,61,240,0,34,307,229,240,516,652,527,49,178,784,22,273,173,665,1457,37,817,355,124,492,40,1284,55,769,1107,4760,663,17,432,321,130,517,27,77,24,299,44,192,202,11,21,4,113,304,294,377,246,6719,254,323,15,0,1279,360,2,14821,46,7210,21432,3805,23,3,1,2,2,,,,0,,6,28,,4608
112,1149,32,3090,520,49,3469,262,147,32,98,4049,152,1506,28,309,724,438,375,512,304,1467,41,328,172,314,312,870,320,67,251,611,20,319,165,555,1468,33,854,427,368,455,88,1125,35,940,1011,5080,546,9,624,393,107,481,36,61,27,273,50,378,379,12,15,8,73,117,298,292,214,6693,242,181,37,889,1115,320,2,14933,56,6334,39436,5432,21,1,1,2,1,,,,3,,2,29,,3804
113,1754,30,3379,420,17,4250,324,97,44,36,3494,344,1746,24,346,581,364,317,84,143,840,34,328,226,494,442,914,490,45,125,569,20,158,129,598,1506,45,737,526,158,720,50,1313,48,1239,132,6584,500,2,677,382,63,387,32,72,33,284,47,345,163,5,8,5,0,115,276,259,321,6556,276,219,17,1790,1218,386,6,15968,32,6130,42725,5681,18,1,2,3,2,,,,0,,1,47,,3649
114,997,22,3476,878,112,3754,317,59,35,221,2926,458,1524,24,397,768,299,354,789,177,1014,45,477,233,429,415,990,535,39,164,720,35,2158,244,575,1378,,743,580,247,450,0,1604,62,1481,1443,5473,602,11,489,421,,620,24,64,17,250,0,580,346,19,11,9,0,107,319,345,460,6760,272,355,92,0,1346,367,0,16922,46,6945,39483,6741,27,1,1,3,1,,,,1,,1,39,,4648
115,1091,,3809,547,90,3708,226,152,38,192,3286,467,1734,7,368,776,370,278,150,259,2083,24,315,373,574,494,226,441,45,130,1007,14,388,256,738,1753,,1076,283,146,385,0,1381,67,0,1427,5799,604,2,453,331,,584,28,69,40,,0,770,338,0,22,9,292,76,193,367,411,6718,359,585,0,1366,1295,409,15,17296,39,8124,46860,6740,25,4,,2,1,,,,4,,6,33,,4296
116,925,,641,587,13,4011,284,58,25,73,5511,811,2016,41,423,880,376,466,124,198,1383,18,350,224,453,414,357,273,37,131,793,26,289,287,804,1693,,1301,434,169,768,0,1324,85,0,1545,6057,647,3,598,646,,569,41,45,30,,136,601,301,0,23,23,152,91,247,311,325,6632,309,307,0,564,1221,390,19,18552,38,8728,38693,6914,13,1,,2,1,,,,2,,4,29,,4406
117,907,,4797,605,93,3953,205,74,45,132,5004,641,2464,,360,866,437,641,793,256,1728,8,513,101,396,0,957,516,78,151,847,17,309,193,697,1939,,1091,858,274,673,163,1755,50,0,1816,3798,288,,416,335,,689,36,82,62,,34,687,210,18,10,2,,65,239,451,291,6736,325,363,18,,958,318,1,19906,33,9063,30476,4683,18,1,,,1,,,,1,,0,44,,4216
118,,,4753,439,0,5813,203,71,12,165,8942,284,2309,,,886,546,372,75,285,0,17,407,114,325,512,,716,,184,412,18,90,251,624,1287,,926,,363,638,,1520,35,2889,1706,6319,648,,532,622,,678,,90,38,,54,537,328,5,14,23,,64,382,323,269,6611,302,334,22,,921,311,7,19459,36,10853,24052,4902,29,1,,,3,,,,1,,2,41,,4017
119,,,3343,259,103,6419,314,0,35,121,9585,373,2886,,,858,529,536,,54,1937,,302,261,376,433,,,,167,918,,,220,391,1360,,968,,343,839,,1782,42,1905,1350,7947,550,,658,598,,507,,67,35,,21,503,331,22,19,11,,82,371,457,388,,289,232,44,,652,326,6,18522,41,8773,33846,,37,3,,,,,,,1,,4,28,,3394
120,,,4399,,152,4850,323,0,33,,8530,517,2604,,,579,575,445,,3,1101,,233,195,608,564,,,,111,,,,,458,1836,,805,,294,715,,1831,58,1487,1133,8123,,,716,491,,568,,74,31,,39,587,0,5,23,4,,110,259,266,326,,,248,52,,1118,279,5,18653,41,,46712,,37,,,,,,,,1,,3,20,,2650
121,,,2722,,66,5524,272,259,54,,5266,81,2513,,,698,357,152,,752,1936,,540,290,,,,,,115,,,,,628,1328,,948,,300,504,,1854,,1566,1144,7434,,,639,542,,516,,71,33,,0,630,264,1,26,12,,91,314,229,450,,,334,58,,1380,369,9,19148,40,,48105,,46,,,,,,,,,,4,30,,2498
122,,,3510,,82,5614,293,57,,,6093,0,1897,,,682,299,389,,356,,,489,210,,,,,,152,,,,,872,,,,,165,481,,1461,,1247,1134,7158,,,354,310,,,,,47,,0,477,224,6,28,9,,69,231,313,420,,,400,69,,890,172,6,20903,50,,42223,,45,,,,,,,,,,1,25,,3548
