DATE_OF_DEATH,03/11/2020,03/14/2020,03/15/2020,03/16/2020,03/17/2020,03/18/2020,03/19/2020,03/20/2020,03/21/2020,03/22/2020,03/23/2020,03/24/2020,03/25/2020,03/26/2020,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/03/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/22/2020,04/23/2020,04/24/2020,04/25/2020,04/26/2020,04/27/2020,04/28/2020,04/29/2020,04/30/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020
Confirmed,1,2,5,9,8,20,24,46,44,50,82,94,120,186,212,265,285,320,372,431,486,483,488,566,564,590,544,535,517,523,555,549,503,437,398,366,360,373,348,305,297,308,299,239,231,255,217,230,207,202,186,167,150,141,137,129,121,99,91,97,87,72,63,85,74,69,47,50,72,39,56,51,40,38,30,36,28,28,28,8,7,0
Probable,0,1,0,1,3,4,2,3,6,3,13,12,19,41,43,55,66,87,89,104,171,173,193,178,228,219,205,197,183,174,176,186,145,104,139,93,118,93,96,95,82,80,58,56,53,50,31,36,37,38,31,30,35,18,32,21,24,10,14,15,12,9,21,12,21,12,12,9,10,13,14,7,7,13,9,8,9,19,14,30,23,2
